State_ID,ZIPCode,ReportingDate,TypeCC,Participation,Rating,AccrdStatus,PreKStandard,QualityMeasure,HeadStart,MonthlyAmtPaid
532226,75067,11/01/2023,4,1,4st,2,9,0,9,53100
532226,75067,12/01/2023,4,1,4st,2,9,0,9,53539
1778178,78516,10/01/2023,4,0,999,9,9,9,9,4055
1778178,78516,11/01/2023,4,0,999,9,9,9,9,5561
1778178,78516,12/01/2023,4,0,999,9,9,9,9,5584
1780738,77074,10/01/2023,4,0,999,9,9,9,9,43
1780738,77074,11/01/2023,4,0,999,9,9,9,9,43
1780738,77074,12/01/2023,4,0,999,9,9,9,9,15
1060866,75672,10/01/2023,4,0,999,9,9,9,9,15877
1060866,75672,11/01/2023,4,0,999,9,9,9,9,14925
1060866,75672,12/01/2023,4,0,999,9,9,9,9,14839
1522690,76018,10/01/2023,4,0,999,9,9,9,9,10841
1522690,76018,11/01/2023,4,0,999,9,9,9,9,10834
1522690,76018,12/01/2023,4,0,999,9,9,9,9,8583
940546,77545,10/01/2023,4,1,4st,2,9,0,9,57580
940546,77545,11/01/2023,4,1,4st,2,9,0,9,56751
940546,77545,12/01/2023,4,1,4st,2,9,0,9,56336
1072386,78504,10/01/2023,4,1,4st,2,9,0,9,25456
1072386,78504,11/01/2023,4,1,4st,2,9,0,9,26998
1072386,78504,12/01/2023,4,1,4st,2,9,0,9,27701
222978,77801,10/01/2023,3,0,999,9,9,9,9,3604
222978,77801,11/01/2023,3,0,999,9,9,9,9,3579
222978,77801,12/01/2023,3,0,999,9,9,9,9,3380
879106,77856,10/01/2023,4,1,3st,2,9,0,9,4578
879106,77856,11/01/2023,4,1,3st,2,9,0,9,4807
879106,77856,12/01/2023,4,1,3st,2,9,0,9,4396
1666818,76264,10/01/2023,3,0,999,9,9,9,9,1692
1666818,76264,11/01/2023,3,0,999,9,9,9,9,1613
1666818,76264,12/01/2023,3,0,999,9,9,9,9,1403
1473026,78728,10/01/2023,4,0,999,9,9,9,9,26264
1473026,78728,11/01/2023,4,0,999,9,9,9,9,30654
1473026,78728,12/01/2023,4,0,999,9,9,9,9,29617
1670658,75074,10/01/2023,4,0,999,9,9,9,9,2829
1670658,75074,11/01/2023,4,0,999,9,9,9,9,2478
1670658,75074,12/01/2023,4,0,999,9,9,9,9,1385
1085186,77566,10/01/2023,4,0,999,9,9,9,9,3279
233730,79423,10/01/2023,4,0,999,9,9,9,9,6686
233730,79423,11/01/2023,4,0,999,9,9,9,9,7159
233730,79423,12/01/2023,4,0,999,9,9,9,9,6499
1680642,76180,10/01/2023,4,0,999,9,9,9,9,13268
1680642,76180,11/01/2023,4,0,999,9,9,9,9,12715
1680642,76180,12/01/2023,4,0,999,9,9,9,9,12621
1755650,77901,10/01/2023,4,0,999,0,9,1,9,18154
1755650,77901,11/01/2023,4,0,999,0,9,1,9,20299
1755650,77901,12/01/2023,4,0,999,0,9,1,9,22329
1101826,79414,10/01/2023,4,0,999,9,9,9,9,4565
1101826,79414,11/01/2023,4,0,999,9,9,9,9,4651
1101826,79414,12/01/2023,4,0,999,9,9,9,9,4740
1696258,75052,10/01/2023,2,0,999,9,9,9,9,2025
1696258,75052,11/01/2023,2,0,999,9,9,9,9,2025
1696258,75052,12/01/2023,2,0,999,9,9,9,9,1911
1764098,78596,10/01/2023,4,0,999,9,9,9,9,3873
1764098,78596,11/01/2023,4,0,999,9,9,9,9,4409
1764098,78596,12/01/2023,4,0,999,9,9,9,9,3031
